[시작] INFO | 전체 | 데이터 수집 프로세스 시작 | 2025-02-02 ~ 2025-02-03
[날짜 확인] 2025-02-02 데이터 수집 시작
[휴장] INFO | 전체 | 2025-02-02 휴장일(주말포함) | 2025-02-02 ~ 2025-02-03
[날짜 확인] 2025-02-03 데이터 수집 시작
[추출] INFO | AAPL | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | MSFT | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | GOOGL | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | AMZN | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | TSLA | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | META | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | NVDA | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | BRK-B | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | V | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | JNJ | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | PG | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | UNH | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | HD | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | MA | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | PFE | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | KO | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | DIS | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | PEP | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | BAC | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | XOM | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[CSV 저장] INFO | 전체 | 파일 저장 완료: data/2025/02/stock_data_2025-02-03.csv | 2025-02-02 ~ 2025-02-03
[완료] INFO | 전체 | 데이터 수집 프로세스 완료 | 2025-02-02 ~ 2025-02-03
[시작] INFO | 전체 | 데이터 수집 프로세스 시작 | 2025-02-02 ~ 2025-02-03
[날짜 확인] 2025-02-02 데이터 수집 시작
[휴장] INFO | 전체 | 2025-02-02 휴장일(주말포함) | 2025-02-02 ~ 2025-02-03
[날짜 확인] 2025-02-03 데이터 수집 시작
[추출] INFO | AAPL | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | MSFT | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | GOOGL | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | AMZN | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | TSLA | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | META | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | NVDA | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | BRK-B | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | V | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | JNJ | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | PG | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | UNH | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | HD | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | MA | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | PFE | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
[추출] INFO | KO | 2025-02-03 데이터 가져오기 완료 | 2025-02-02 ~ 2025-02-03
